scenario,n_new_aed,coverage_1km,median_dist_km,equity_gini,capex_eur,opex_10y_eur,co2_kgco2e,total_cost_eur,pareto_optimal
S10,10,0.8731233128772331,0.30342360603600294,0.0772687553519531,20000,12000,850,32000,True
S20,20,0.8735277168363478,0.30332639353381974,0.07681758053821452,40000,24000,1700,64000,True
S30,30,0.8735100241631366,0.3032845245357072,0.07717188949133824,60000,36000,2550,96000,True
S40,40,0.8738992629737845,0.3029853975420758,0.07694722580892277,80000,48000,3400,128000,True
S50,50,0.8740256392110078,0.3030280172546165,0.0762543143708887,100000,60000,4250,160000,True
S70,70,0.8742834467349435,0.30215823969064426,0.07640425612453794,140000,84000,5950,224000,True
S100,100,0.8749709334654386,0.30204738980556634,0.07654947974799575,200000,120000,8500,320000,True
