province,n_missions,response_p50,response_p90
LUX,21310,12.464333333333332,22.689985000000004
NAM,37700,11.607341666666667,20.767835
HAI,98673,12.058516666666666,19.93017333333334
LIM,45127,11.571733333333333,19.730343333333334
BRW,22420,11.306750000000001,19.682166666666674
LIE,72950,11.204825,19.142088333333337
ANT,97463,10.646266666666666,17.94619666666667
