province,n_missions,covered,coverage_rate,cum_missions,cum_covered
LUX,21310,12629,0.5926325668700141,0.05386168844134737,0.046384785467153446
LIM,45127,27135,0.6013029893411926,0.167921585874134,0.14604834977558712
NAM,37700,22765,0.6038461538461538,0.26320950958313427,0.2296614340387709
BRW,22420,14465,0.6451828724353256,0.3198767575819615,0.28278962485216663
HAI,98673,67446,0.6835304490590131,0.569275837055123,0.5305106036008903
LIE,72950,54117,0.7418368745716244,0.7536592331976049,0.7292757817722374
ANT,97463,73709,0.756276740917066,1.0,1.0
